lang,model,condition,acc,acc_lo,acc_hi,N
de_gsd,bert-base-multilingual-cased,Full,0.0,0.0,0.003191,1200
de_gsd,bert-base-multilingual-cased,Full+M,0.003333,0.001297,0.008539,1200
de_gsd,bert-base-multilingual-cased,Head,0.09,0.075089,0.107527,1200
de_gsd,bert-base-multilingual-cased,Orig,0.146667,0.127778,0.16781,1200
de_gsd,bert-base-multilingual-cased,Orig+M,0.066667,0.053891,0.082208,1200
de_gsd,bert-base-multilingual-cased,Part,0.083333,0.068994,0.100332,1200
de_gsd,bert-base-multilingual-cased,Part+M,0.036667,0.027426,0.048864,1200
de_gsd,xlm-roberta-base,Full,0.005263,0.002049,0.013454,760
de_gsd,xlm-roberta-base,Full+M,0.002632,0.000722,0.009544,760
de_gsd,xlm-roberta-base,Head,0.078947,0.061825,0.100305,760
de_gsd,xlm-roberta-base,Orig,0.228947,0.200483,0.260138,760
de_gsd,xlm-roberta-base,Orig+M,0.094737,0.075907,0.117643,760
de_gsd,xlm-roberta-base,Part,0.065789,0.050257,0.085689,760
de_gsd,xlm-roberta-base,Part+M,0.031579,0.021311,0.046558,760
en_ewt,bert-base-multilingual-cased,Full,0.006897,0.003499,0.01355,1160
en_ewt,bert-base-multilingual-cased,Full+M,0.006897,0.003499,0.01355,1160
en_ewt,bert-base-multilingual-cased,Head,0.068966,0.055761,0.085016,1160
en_ewt,bert-base-multilingual-cased,Orig,0.224138,0.201073,0.249024,1160
en_ewt,bert-base-multilingual-cased,Orig+M,0.141379,0.122511,0.162615,1160
en_ewt,bert-base-multilingual-cased,Part,0.117241,0.099979,0.13703,1160
en_ewt,bert-base-multilingual-cased,Part+M,0.065517,0.052664,0.081239,1160
en_ewt,xlm-roberta-base,Full,0.007895,0.003623,0.017116,760
en_ewt,xlm-roberta-base,Full+M,0.002632,0.000722,0.009544,760
en_ewt,xlm-roberta-base,Head,0.073684,0.057177,0.094479,760
en_ewt,xlm-roberta-base,Orig,0.242105,0.212997,0.273807,760
en_ewt,xlm-roberta-base,Orig+M,0.155263,0.131256,0.182738,760
en_ewt,xlm-roberta-base,Part,0.105263,0.085394,0.129102,760
en_ewt,xlm-roberta-base,Part+M,0.076316,0.059498,0.097395,760
es_ancora,bert-base-multilingual-cased,Full,0.010033,0.005749,0.017456,1196
es_ancora,bert-base-multilingual-cased,Full+M,0.006689,0.003393,0.013143,1196
es_ancora,bert-base-multilingual-cased,Head,0.06689,0.054072,0.08248,1196
es_ancora,bert-base-multilingual-cased,Orig,0.200669,0.178945,0.224309,1196
es_ancora,bert-base-multilingual-cased,Orig+M,0.113712,0.096944,0.132955,1196
es_ancora,bert-base-multilingual-cased,Part,0.123746,0.106279,0.143622,1196
es_ancora,bert-base-multilingual-cased,Part+M,0.073579,0.060108,0.08978,1196
es_ancora,xlm-roberta-base,Full,0.007895,0.003623,0.017116,760
es_ancora,xlm-roberta-base,Full+M,0.002632,0.000722,0.009544,760
es_ancora,xlm-roberta-base,Head,0.084211,0.066497,0.106106,760
es_ancora,xlm-roberta-base,Orig,0.284211,0.253291,0.3173,760
es_ancora,xlm-roberta-base,Orig+M,0.142105,0.119079,0.168732,760
es_ancora,xlm-roberta-base,Part,0.147368,0.123941,0.174342,760
es_ancora,xlm-roberta-base,Part+M,0.065789,0.050257,0.085689,760
ru_syntagrus,bert-base-multilingual-cased,Full,0.006689,0.003393,0.013143,1196
ru_syntagrus,bert-base-multilingual-cased,Full+M,0.006689,0.003393,0.013143,1196
ru_syntagrus,bert-base-multilingual-cased,Head,0.076923,0.063139,0.093416,1196
ru_syntagrus,bert-base-multilingual-cased,Orig,0.270903,0.246479,0.296794,1196
ru_syntagrus,bert-base-multilingual-cased,Orig+M,0.090301,0.075342,0.107883,1196
ru_syntagrus,bert-base-multilingual-cased,Part,0.133779,0.115654,0.154249,1196
ru_syntagrus,bert-base-multilingual-cased,Part+M,0.060201,0.048077,0.075141,1196
ru_syntagrus,xlm-roberta-base,Full,0.007895,0.003623,0.017116,760
ru_syntagrus,xlm-roberta-base,Full+M,0.010526,0.005343,0.020633,760
ru_syntagrus,xlm-roberta-base,Head,0.055263,0.041142,0.073857,760
ru_syntagrus,xlm-roberta-base,Orig,0.202632,0.175582,0.232672,760
ru_syntagrus,xlm-roberta-base,Orig+M,0.113158,0.092554,0.137653,760
ru_syntagrus,xlm-roberta-base,Part,0.094737,0.075907,0.117643,760
ru_syntagrus,xlm-roberta-base,Part+M,0.05,0.036642,0.067884,760
tr_imst,bert-base-multilingual-cased,Full,0.008021,0.003681,0.017389,748
tr_imst,bert-base-multilingual-cased,Full+M,0.005348,0.002081,0.013668,748
tr_imst,bert-base-multilingual-cased,Head,0.010695,0.005429,0.020961,748
tr_imst,bert-base-multilingual-cased,Orig,0.02139,0.013209,0.034463,748
tr_imst,bert-base-multilingual-cased,Orig+M,0.013369,0.007278,0.024433,748
tr_imst,bert-base-multilingual-cased,Part,0.009174,0.003573,0.023349,436
tr_imst,bert-base-multilingual-cased,Part+M,0.0,0.0,0.008734,436
tr_imst,xlm-roberta-base,Full,0.0,0.0,0.005029,760
tr_imst,xlm-roberta-base,Full+M,0.0,0.0,0.005029,760
tr_imst,xlm-roberta-base,Head,0.013158,0.007163,0.02405,760
tr_imst,xlm-roberta-base,Orig,0.039474,0.027788,0.055791,760
tr_imst,xlm-roberta-base,Orig+M,0.023684,0.015033,0.037126,760
tr_imst,xlm-roberta-base,Part,0.005263,0.002049,0.013454,760
tr_imst,xlm-roberta-base,Part+M,0.002632,0.000722,0.009544,760
zh_gsd,bert-base-multilingual-cased,Full,0.013333,0.008224,0.021549,1200
zh_gsd,bert-base-multilingual-cased,Full+M,0.016667,0.010815,0.025603,1200
zh_gsd,bert-base-multilingual-cased,Head,0.15,0.130915,0.171318,1200
zh_gsd,bert-base-multilingual-cased,Orig,0.376667,0.349686,0.404435,1200
zh_gsd,bert-base-multilingual-cased,Orig+M,0.383333,0.356238,0.411173,1200
zh_gsd,bert-base-multilingual-cased,Part,0.2,0.178341,0.223573,1200
zh_gsd,bert-base-multilingual-cased,Part+M,0.213333,0.191089,0.237407,1200
zh_gsd,xlm-roberta-base,Full,0.0,0.0,0.005029,760
zh_gsd,xlm-roberta-base,Full+M,0.0,0.0,0.005029,760
zh_gsd,xlm-roberta-base,Head,0.013158,0.007163,0.02405,760
zh_gsd,xlm-roberta-base,Orig,0.039474,0.027788,0.055791,760
zh_gsd,xlm-roberta-base,Orig+M,0.036842,0.025611,0.052732,760
zh_gsd,xlm-roberta-base,Part,0.015789,0.009055,0.027394,760
zh_gsd,xlm-roberta-base,Part+M,0.013158,0.007163,0.02405,760
