lang,model,delta,p_perm
de_gsd,bert-base-multilingual-cased,-0.0065108333333333,0.6291854072963519
de_gsd,xlm-roberta-base,-0.0128401315789473,0.5407296351824088
en_ewt,bert-base-multilingual-cased,0.0481051724137931,0.5032483758120939
en_ewt,xlm-roberta-base,0.0321638157894736,0.4942528735632184
es_ancora,bert-base-multilingual-cased,0.0569439799331103,0.47976011994003
es_ancora,xlm-roberta-base,0.0629131578947368,0.5072463768115942
ru_syntagrus,bert-base-multilingual-cased,0.0569782608695652,0.4962518740629685
ru_syntagrus,xlm-roberta-base,0.0391894736842105,0.4942528735632184
tr_imst,bert-base-multilingual-cased,-0.0013097679438747,0.8220889555222389
tr_imst,xlm-roberta-base,-0.0080749999999999,0.4552723638180909
zh_gsd,bert-base-multilingual-cased,0.0500358333333333,0.5017491254372813
zh_gsd,xlm-roberta-base,0.0027480263157894,0.6156921539230384
