lang,model,S_full,S_full_lo,S_full_hi,S_part,S_part_lo,S_part_hi,S_head,S_head_lo,S_head_hi,S_morph,S_morph_lo,S_morph_hi
de_gsd,bert-base-multilingual-cased,1.0,1.0,1.0,0.431818,0.280996,0.550265,0.386364,0.234129,0.517949,0.545455,0.420702,0.644458
de_gsd,xlm-roberta-base,0.977011,0.950276,0.994766,0.712644,0.615374,0.794286,0.655172,0.552142,0.745354,0.586207,0.476738,0.68501
en_ewt,bert-base-multilingual-cased,0.969231,0.945736,0.988555,0.476923,0.36322,0.57197,0.692308,0.610037,0.757353,0.369231,0.243567,0.472131
en_ewt,xlm-roberta-base,0.967391,0.938547,0.989849,0.565217,0.447198,0.658038,0.695652,0.599974,0.775401,0.358696,0.212605,0.479592
es_ancora,bert-base-multilingual-cased,0.95,0.920187,0.976096,0.383333,0.255581,0.489883,0.666667,0.580247,0.742622,0.433333,0.321114,0.536
es_ancora,xlm-roberta-base,0.972222,0.948052,0.990951,0.481481,0.3707,0.579211,0.703704,0.621208,0.775787,0.5,0.388392,0.594947
ru_syntagrus,bert-base-multilingual-cased,0.975309,0.956392,0.990798,0.506173,0.414091,0.589095,0.716049,0.651003,0.774396,0.666667,0.59104,0.730775
ru_syntagrus,xlm-roberta-base,0.961039,0.926174,0.987654,0.532468,0.391282,0.64073,0.727273,0.627568,0.809524,0.441558,0.294078,0.562139
tr_imst,bert-base-multilingual-cased,0.625,0.125,0.900119,0.571101,-0.143731,0.918305,0.5,-0.125,0.826268,0.375,-0.363636,0.736842
tr_imst,xlm-roberta-base,1.0,1.0,1.0,0.866667,0.6875,0.970609,0.666667,0.36,0.852941,0.4,-0.045509,0.666892
zh_gsd,bert-base-multilingual-cased,0.964602,0.946387,0.980813,0.469027,0.394916,0.535036,0.60177,0.540174,0.657147,-0.017699,-0.133196,0.079403
zh_gsd,xlm-roberta-base,1.0,1.0,1.0,0.6,0.25,0.809598,0.666667,0.375,0.861111,0.066667,-0.521739,0.452381
